time,id,x,y,angle,type,speed,pos,lane,slope
0.0,A_CAV0,15.0,35.6,90.0,A_CAV,9.0,15.0,E4_0,0.0
0.0,A_CAV1,35.0,35.6,90.0,A_CAV,11.0,35.0,E4_0,0.0
0.0,A_CAV10,80.0,48.4,90.0,A_CAV,11.0,80.0,E4_4,0.0
0.0,A_CAV4,25.0,42.0,90.0,A_CAV,9.0,25.0,E4_2,0.0
0.0,A_CAV8,60.0,45.2,90.0,A_CAV,9.0,60.0,E4_3,0.0
0.0,A_CAV9,50.0,48.4,90.0,A_CAV,9.0,50.0,E4_4,0.0
0.0,E_CAV0.0,45.0,38.8,90.0,E_CAV,12.0,45.0,E4_1,0.0
0.05,A_CAV0,15.45,35.6,90.0,A_CAV,9.08,15.45,E4_0,0.0
0.05,A_CAV1,35.55,35.6,90.0,A_CAV,11.07,35.55,E4_0,0.0
0.05,A_CAV10,80.56,48.4,90.0,A_CAV,11.1,80.56,E4_4,0.0
0.05,A_CAV4,25.45,42.0,90.0,A_CAV,9.09,25.45,E4_2,0.0
0.05,A_CAV8,60.46,45.2,90.0,A_CAV,9.12,60.46,E4_3,0.0
0.05,A_CAV9,50.45,48.4,90.0,A_CAV,9.1,50.45,E4_4,0.0
0.05,E_CAV0.0,45.61,38.8,90.0,E_CAV,12.13,45.61,E4_1,0.0
0.05,E_CAV2.0,90.0,45.2,90.0,E_CAV,12.0,90.0,E4_3,0.0
0.05,E_CAV3.0,110.0,38.8,90.0,E_CAV,12.0,110.0,E4_1,0.0
0.05,E_CAV4.0,125.0,45.2,90.0,E_CAV,12.0,125.0,E4_3,0.0
0.1,A_CAV0,15.91,35.6,90.0,A_CAV,9.18,15.91,E4_0,0.0
0.1,A_CAV1,36.11,35.6,90.0,A_CAV,11.2,36.11,E4_0,0.0
0.1,A_CAV10,81.12,48.4,90.0,A_CAV,11.23,81.12,E4_4,0.0
0.1,A_CAV4,25.91,42.0,90.0,A_CAV,9.18,25.91,E4_2,0.0
0.1,A_CAV8,60.92,45.2,90.0,A_CAV,9.21,60.92,E4_3,0.0
0.1,A_CAV9,50.91,48.4,90.0,A_CAV,9.18,50.91,E4_4,0.0
0.1,E_CAV0.0,46.22,38.8,90.0,E_CAV,12.21,46.22,E4_1,0.0
0.1,E_CAV2.0,90.61,45.2,90.0,E_CAV,12.12,90.61,E4_3,0.0
0.1,E_CAV3.0,110.61,38.8,90.0,E_CAV,12.11,110.61,E4_1,0.0
0.1,E_CAV4.0,125.6,45.2,90.0,E_CAV,12.07,125.6,E4_3,0.0
0.15,A_CAV0,16.38,35.6,90.0,A_CAV,9.31,16.38,E4_0,0.0
0.15,A_CAV1,36.68,35.6,90.0,A_CAV,11.29,36.68,E4_0,0.0
0.15,A_CAV10,81.68,48.4,90.0,A_CAV,11.3,81.68,E4_4,0.0
0.15,A_CAV4,26.38,42.0,90.0,A_CAV,9.29,26.38,E4_2,0.0
0.15,A_CAV8,61.38,45.2,90.0,A_CAV,9.28,61.38,E4_3,0.0
0.15,A_CAV9,51.38,48.4,90.0,A_CAV,9.27,51.38,E4_4,0.0
0.15,E_CAV0.0,46.83,38.8,90.0,E_CAV,12.3,46.83,E4_1,0.0
0.15,E_CAV1.0,70.0,38.8,90.0,E_CAV,12.0,70.0,E4_1,0.0
0.15,E_CAV2.0,91.22,45.2,90.0,E_CAV,12.23,91.22,E4_3,0.0
0.15,E_CAV3.0,111.22,38.8,90.0,E_CAV,12.2,111.22,E4_1,0.0
0.15,E_CAV4.0,126.21,45.2,90.0,E_CAV,12.19,126.21,E4_3,0.0
0.2,A_CAV0,16.85,35.6,90.0,A_CAV,9.42,16.85,E4_0,0.0
0.2,A_CAV1,37.25,35.6,90.0,A_CAV,11.37,37.25,E4_0,0.0
0.2,A_CAV10,82.25,48.4,90.0,A_CAV,11.38,82.25,E4_4,0.0
0.2,A_CAV4,26.85,42.0,90.0,A_CAV,9.37,26.85,E4_2,0.0
0.2,A_CAV8,61.85,45.2,90.0,A_CAV,9.36,61.85,E4_3,0.0
0.2,A_CAV9,51.84,48.4,90.0,A_CAV,9.34,51.84,E4_4,0.0
0.2,E_CAV0.0,47.45,38.8,90.0,E_CAV,12.38,47.45,E4_1,0.0
0.2,E_CAV1.0,70.61,38.8,90.0,E_CAV,12.11,70.61,E4_1,0.0
0.2,E_CAV2.0,91.83,45.2,90.0,E_CAV,12.3,91.83,E4_3,0.0
0.2,E_CAV3.0,111.83,38.8,90.0,E_CAV,12.27,111.83,E4_1,0.0
0.2,E_CAV4.0,126.83,45.2,90.0,E_CAV,12.28,126.83,E4_3,0.0
0.25,A_CAV0,17.33,35.6,90.0,A_CAV,9.5,17.33,E4_0,0.0
0.25,A_CAV1,37.82,35.6,90.0,A_CAV,11.47,37.82,E4_0,0.0
0.25,A_CAV10,82.82,48.4,90.0,A_CAV,11.47,82.82,E4_4,0.0
0.25,A_CAV4,27.32,42.0,90.0,A_CAV,9.45,27.32,E4_2,0.0
0.25,A_CAV8,62.32,45.2,90.0,A_CAV,9.46,62.32,E4_3,0.0
0.25,A_CAV9,52.32,48.4,90.0,A_CAV,9.44,52.32,E4_4,0.0
0.25,E_CAV0.0,48.08,38.8,90.0,E_CAV,12.48,48.08,E4_1,0.0
0.25,E_CAV1.0,71.22,38.8,90.0,E_CAV,12.2,71.22,E4_1,0.0
0.25,E_CAV2.0,92.45,45.2,90.0,E_CAV,12.42,92.45,E4_3,0.0
0.25,E_CAV3.0,112.45,38.8,90.0,E_CAV,12.39,112.45,E4_1,0.0
0.25,E_CAV4.0,127.44,45.2,90.0,E_CAV,12.35,127.44,E4_3,0.0
0.3,A_CAV0,17.8,35.6,90.0,A_CAV,9.59,17.8,E4_0,0.0
0.3,A_CAV1,38.4,35.6,90.0,A_CAV,11.6,38.4,E4_0,0.0
0.3,A_CAV10,83.4,48.4,90.0,A_CAV,11.54,83.4,E4_4,0.0
0.3,A_CAV4,27.8,42.0,90.0,A_CAV,9.55,27.8,E4_2,0.0
0.3,A_CAV8,62.8,45.2,90.0,A_CAV,9.59,62.8,E4_3,0.0
0.3,A_CAV9,52.79,48.4,90.0,A_CAV,9.54,52.79,E4_4,0.0
0.3,E_CAV0.0,48.7,38.8,90.0,E_CAV,12.53,48.7,E4_1,0.0
0.3,E_CAV1.0,71.83,38.8,90.0,E_CAV,12.31,71.83,E4_1,0.0
0.3,E_CAV2.0,93.08,45.2,90.0,E_CAV,12.51,93.08,E4_3,0.0
0.3,E_CAV3.0,113.07,38.8,90.0,E_CAV,12.47,113.07,E4_1,0.0
0.3,E_CAV4.0,128.07,45.2,90.0,E_CAV,12.45,128.07,E4_3,0.0
0.35,A_CAV0,18.29,35.6,90.0,A_CAV,9.69,18.29,E4_0,0.0
0.35,A_CAV1,38.98,35.6,90.0,A_CAV,11.7,38.98,E4_0,0.0
0.35,A_CAV10,83.98,48.4,90.0,A_CAV,11.63,83.98,E4_4,0.0
0.35,A_CAV4,28.28,42.0,90.0,A_CAV,9.64,28.28,E4_2,0.0
0.35,A_CAV8,63.29,45.2,90.0,A_CAV,9.7,63.29,E4_3,0.0
0.35,A_CAV9,53.27,48.4,90.0,A_CAV,9.62,53.27,E4_4,0.0
0.35,E_CAV0.0,49.33,38.8,90.0,E_CAV,12.64,49.33,E4_1,0.0
